label,nl-BE,es,en,fr,zh,ru,th,tr,id
items_number_required,UPC/EAN/ISBN moet ingevuld worden,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field
items_one_or_multiple,product(en) verwijderd,articulo(s),item(s),item(s),產品,товар(а),สินค้า(s),ürün,Item Barang
items_initial_quantity,Initi�le Stock,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity
items_quantity,Stock,Cantidad en Stock,Quantity,Quantité,數量,Количество,จำนวน,Adet,Jumlah
items_quantity_number,Hoeveelheid moet een cijfer zijn,Cantidad debe ser número,Quantity must be a number,La Quantité doit etre un nombre,數量必需是數值,Количество должно быть число,จำนวนต้องเป็นตัวเลข,Adet sayı olmalıdır,Jumlah harus angka
items_quantity_required,Hoeveelheid moet ingevuld worden,Cantidad es requerido,Quantity is a required field,La Quantité est requise,數量為必填欄位,Количество обязательное пробелья,จำนวนต้องกรอก,Adet zorunlu alandır,Jumlah wajib diisi
items_receiving_quantity,Aantal per lijn,Receiving quantity,Receiving quantity,Receiving quantity,Receiving quantity,Receiving quantity,ยอดรับมา,Receiving quantity,Receiving quantity
items_reorder_level,Reorder Level,Cantidad Mínima,Reorder Level,Niveau de Réapprovisionnement,補貨點,Минимальный уровень перед заказом,ระดับการสั่งใหม่,Düşük Stok,Batas pesan ulang
items_reorder_level_number,Reorder level moet een cijfer zijn,Cantidad Mínima debe ser número,Reorder level must be a number,Le Niveaux de Réapprovisionnement doit etre un nombre,補貨點必需是數值,Минимальный уровень перед заказом должно быть число,ระดับการสั่งใหม่ต้องเป็นตัวเลข,Düşük stok sayı olmalıdır,Batas pesan ulang harus angka
items_reorder_level_required,Reorder level moet ingevuld worden,Cantidad Mínima es requerido,Reorder level is a required field,Le Niveaux de Réapprovisionnement est requis,補貨點為必填欄位,Минимальный уровень перед заказом обязательное пробелья,ระดับการสั่งไหม่ต้องกรอก,Düşük Stok zorunlu alandır,Batas pesan ulang wajib diisi
items_retrive_item_info,Haal productinformatie op,Obtener Info de Artículo,Retrive Item Info,Récupérer Informations,檢索產品訊息,Получить Детальная информация,รับข้อมูลสินค้า,Ürün Bilgisi Getir,Dapatkan Info Item Barang
items_sales_tax_1,VAT,Impuesto de Ventas 1,Sales Tax,Taxe Vente,營業稅,Налог на покупку,ถาษีขาย,Satış Vergisi,Pajak Penjualan1
items_sales_tax_2,VAT 2,Impuesto de Ventas 2,Sales Tax 2,Taxe Vente 2,營業稅 2,Налог на покупку 2,ภาษีขาย 2,Satış Vergisi 2,Pajak Penjualan2
items_search_custom_items,Doorzoek Tags,Buscar en campos personalizados,Search Custom Fields,Rechercher dans les Champs Choisis,Search Custom Fields,Искать в дополнительных товарях,ค้นหาในฟิลด์เสริม,Özel Alanları Ara,Cari secara manual
items_serialized_items,Serialized Items,Artículos Serializados,Serialized Items,Items Serialisés,序列化產品,Сериализованные товары,รหัสสินค้า,Seri Numaralı Ürünler,Serial Item
items_stock_location,Stock locatie,Stock location,Stock location,Stock location,Stock location,Stock location,ที่เก็บ,Mağaza Yeri,Stock location
items_successful_adding,Product succesvol toegevoegd,Has agregado satisfactoriamente un artículo,You have successfully added item,Ajout enregistré,已成功新增產品,Вы успешно добавлен товар,เพิ่มสินค้าสำเร็จ,Ürün ekleme başarılı,Item Barang telah berhasil ditambahkan
items_successful_bulk_edit,Producten werden succesvol bewaard,Has actualizado satisfactoriamente los artículos seleccionados,You have successfully updated the selected items,Édition réussie,您已成功更新所選產品,Вы успешно обновили выбранных товаров,ปรับแต่งสินค้าสำเร็จ,Seçili ürün düzenlendi,Anda telah berhasil memperbarui item yang dipilih
items_successful_deleted,Er werd(en),Has borrado satisfactoriamente,You have successfully deleted,Suppréssion réussie,刪除成功,Вы успешно удалили,ลบสินค้าสำเร็จ,Silme başarılı,Item Barang telah berhasil dihapus
items_successful_updating,Wijzigingen bewaard voor,Has actualizando satisfactoriamente un artículo,You have successfully updated item,Édition enregistrée,已成功更新產品,Вы успешно обновленного товара,ปรับแต่งสินค้าสำเร็จ,Ürün düzenleme başarılı,Item Barang telah berhasil diperbarui
items_supplier,Leverancier,Proveedor,Supplier,Fournisseur,供貨商,Поставщик,ผู้ผลิต,Sağlayıcı,Pemasok
items_tax_1,VAT,Impuesto 1,Tax 1,Taxe 1,稅額 1,Налог 1,ภาษี 1,Vergi 1,Pajak 1
items_tax_2,VAT 2,Impuesto 2,Tax 2,Taxe 2,稅額 2,Налог 2,ภาษี 2,Vergi 2,Pajak 2
items_tax_percent,VAT %,Porcentaje de Impuesto,Tax Percent,Pourcentage d\'imposition,稅率,процент налога,ภาษี(%),Vergi Yüzdesi,Tarif Pajak
items_tax_percent_required,Taxpercentage moet ingevuld worden,Porcentaje de Impuesto es requerido,Tax Percent is a required field,Le Pourcentage d\'imposition est requis,稅率為必填欄位,Процент Налоги обязательное пробелья,เปอร์เซ็นต์ต้องกรอก,Vergi Oranı zorunlu alandır,Tarif Pajak wajib diisi
items_tax_percents,VAT,Porcentaje de Impuesto(s),Tax Percent(s),Pourcents(s) de taxes,稅率 %,процент налога(и),ภาษี(%),Vergi Yüzdesi,Tarif Pajak
items_unit_price,Verkoopprijs,Precio de Venta,Retail Price,Prix au Détail,單價,Розничная Цена,ราคาขาย,Satış Fiyatı,Harga Jual
items_unit_price_number,Verkoopprijs moet een cijfer zijn,Precio de Venta debe ser número,Unit price must be a number,Le Prix unitaire doit etre un nombre,單價必需是數值,Розничная Цена должно быть число,ราคาต่อหน่วยต้องเป็นตัวเลข,Fiyat sayı olmalıdır (9.90),Harga satuan harus angka
items_unit_price_required,Verkoopprijs moet ingevuld worden,Precio de Venta es requerido,Retail Price is a required field,Le Prix de revente est requis,單價為必填欄位,Розничная цена обязательное пробелья,ราคาต่อหน่วยต้องกรอก,Satış Fiyatı zorunlu alandır,Harga Jual wajib diisi
items_upc_database,UPC Database,Base de datos UPC,UPC Database,Base de Données UPC,UPC Database,UPC база данных,UPC ฐานข้อมูล,UPC Veritabanı,Database UPC
items_update,Bewerk Product,Actualizar Artículo,Update Item,Éditer Item,更新產品,Обновить Товар,ปรับแต่งสินค้า,Ürün Güncelle,Ubah
items_use_inventory_menu,Use Inv. Menu,Usar Menú de Inventario,Use Inv. Menu,Utiliser Menu Inv.,使用庫存清單,Используйте меню инвентаря,ใช้เมนูสินค้าคงเหลือ,Stok Menüsünü Kullan,Gunakan Inv. Menu
items_size,Maat,Size,Size,Size,Size,Size,Size,Size,Size
items_initial_quantity,Initiële hoeveelheid,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity,Initial Quantity
items_unit_name,Eenheid,Unit,Unit,Unit,Unit,Unit,Unit,Unit,Unit
